City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
401,Vestmannaeyjar,63.4427,-20.2734,26.82,68,100,29.3,IS,2022-01-29 00:48:17
402,Melfi,40.9965,15.6514,35.49,87,6,6.91,IT,2022-01-29 00:48:18
403,Avera,33.194,-82.5271,45.91,63,78,18.9,US,2022-01-29 00:48:18
404,Noshiro,40.2039,140.0242,31.03,63,100,18.1,JP,2022-01-29 00:48:18
405,Wanning,18.8003,110.3967,66.6,88,99,8.95,CN,2022-01-29 00:48:19
406,Kargasok,59.0556,80.8572,-2.76,99,100,5.41,RU,2022-01-29 00:48:19
407,Awbari,26.5921,12.7805,43.54,49,10,4.47,LY,2022-01-29 00:48:20
408,Mount Isa,-20.7333,139.5,82.17,78,100,12.66,AU,2022-01-29 00:48:20
409,Waipawa,-41.4122,175.5153,70.43,40,0,7.7,NZ,2022-01-29 00:48:21
410,Sandnessjoen,66.0217,12.6316,35.58,94,100,5.01,NO,2022-01-29 00:48:22
411,Jumla,29.2747,82.1838,31.53,32,0,5.44,NP,2022-01-29 00:48:22
412,Mont-Dore,-22.2833,166.5833,84.18,99,100,12.97,NC,2022-01-29 00:48:22
413,Tuatapere,-46.1333,167.6833,72.82,38,100,3.38,NZ,2022-01-29 00:46:48
414,Lira,2.235,32.9097,68.32,36,7,0.94,UG,2022-01-29 00:48:23
415,Calvinia,-31.4707,19.776,68.05,54,0,6.87,ZA,2022-01-29 00:45:27
416,Eureka,40.8021,-124.1637,58.39,66,42,1.25,US,2022-01-29 00:48:23
417,Estelle,29.8458,-90.1067,51.01,44,0,7.0,US,2022-01-29 00:49:24
418,Windhoek,-22.5594,17.0832,75.4,41,56,8.05,NA,2022-01-29 00:49:24
419,Canberra,-35.2835,149.1281,81.45,79,75,1.01,AU,2022-01-29 00:48:10
420,Oriximina,-1.7656,-55.8661,74.91,93,97,2.48,BR,2022-01-29 00:45:27
421,Zhigansk,66.7697,123.3711,-10.26,98,96,19.04,RU,2022-01-29 00:49:25
422,Quatre Cocos,-20.2078,57.7625,77.11,81,5,8.32,MU,2022-01-29 00:49:25
423,Cabedelo,-6.9811,-34.8339,72.27,73,100,10.36,BR,2022-01-29 00:49:25
424,Plouzane,48.3833,-4.6167,48.52,100,100,4.61,FR,2022-01-29 00:49:26
425,Samana,19.2056,-69.3369,72.97,78,0,6.26,DO,2022-01-29 00:49:26
426,Fjerritslev,57.0813,9.2664,43.05,95,100,23.82,DK,2022-01-29 00:49:26
427,Josanicka Banja,43.3895,20.7503,33.1,98,100,3.0,RS,2022-01-29 00:49:27
428,Buin,-33.7333,-70.75,74.73,74,0,4.18,CL,2022-01-29 00:46:41
429,Durham,36.0335,-78.8664,44.11,60,100,5.01,US,2022-01-29 00:47:12
430,Canete,-37.8,-73.4,57.18,97,0,1.39,CL,2022-01-29 00:49:27
431,Cockburn Town,21.4612,-71.1419,75.16,73,40,4.61,TC,2022-01-29 00:49:28
432,Assiniboia,49.6334,-105.9845,31.91,64,99,16.11,CA,2022-01-29 00:49:28
433,Mersing,2.4312,103.8405,71.51,94,20,4.61,MY,2022-01-29 00:49:29
434,San Ramon,37.7799,-121.978,63.03,57,0,1.01,US,2022-01-29 00:49:29
435,Koungou,-12.7336,45.2042,76.71,88,0,3.44,YT,2022-01-29 00:49:29
436,Tancheng,27.4375,115.4976,38.64,90,100,4.03,CN,2022-01-29 00:49:30
437,Gryazovets,58.88,40.2525,14.14,94,100,7.96,RU,2022-01-29 00:49:30
438,Ornskoldsvik,63.2909,18.7153,27.55,93,100,8.05,SE,2022-01-29 00:49:30
439,Chunskiy,56.0815,99.6342,-15.18,100,65,1.34,RU,2022-01-29 00:49:31
440,Pacific Grove,36.6177,-121.9166,68.4,43,0,3.0,US,2022-01-29 00:47:21
441,Scarborough,54.2797,-0.4044,52.52,87,30,5.99,GB,2022-01-29 00:46:21
442,Omaruru,-21.4333,15.9333,72.63,42,84,4.85,NA,2022-01-29 00:49:31
443,Puri,19.8,85.85,55.92,65,11,9.24,IN,2022-01-29 00:49:32
444,Hami,42.8,93.45,20.08,54,0,4.88,CN,2022-01-29 00:49:32
445,Singleton,-32.5667,151.1833,91.98,62,0,4.0,AU,2022-01-29 00:49:30
446,Shahr-E Babak,30.1165,55.1186,39.92,64,100,4.56,IR,2022-01-29 00:49:32
